district,street,house_count,calibrated_score,calibrated_score_life_circle,life_circle_score,life_circle_5min_score,life_circle_10min_score,life_circle_15min_score
长宁,华阳路街道,427,0.11475620790723107,0.20232187351878136,0.5549883985122532,0.6692650506037666,0.5024400884999624,0.44571338918303915
长宁,周家桥街道,579,0.10177105738935152,0.17621311206414011,0.49886605524183264,0.5411680672141327,0.4912772920338766,0.4418071045772909
长宁,天山路街道,310,0.16856586729266315,0.22927220500707474,0.5443005150046742,0.6637106837061196,0.4572755763013171,0.47507915926706157
长宁,新华路街道,396,0.08635626757698059,0.13963797540859327,0.4103743667390421,0.42914646673358636,0.4003515679181527,0.3943709250970165
长宁,新泾镇,1056,0.11002560738120912,0.1522711660516651,0.40821488940585243,0.44570731680582704,0.3935046316907532,0.3688213663670321
长宁,江苏路街道,445,0.09736774678618892,0.18885979269029277,0.5452885140656978,0.6537724631052974,0.49413484630916477,0.4433293304614847
长宁,程家桥街道,229,0.11170958076167632,0.13691658847429,0.3547819632231207,0.31496283205102504,0.3955137524466113,0.3614680681855871
长宁,虹桥街道,638,0.1500444961836268,0.2015594446688942,0.49385756815734616,0.5713266640884898,0.45570559660115245,0.4233197748461877
闵行,七宝镇,1944,0.14034682555590072,0.17135330600333706,0.416734287108161,0.5148927370817071,0.3633820471546443,0.3343739030854107
闵行,华漕镇,706,0.07950709575811737,0.10220282190495744,0.2900880447677376,0.29248494149640114,0.2774514663656878,0.3039442197647457
闵行,古美路街道,1250,0.10392471905048958,0.14514097772421827,0.395191429550825,0.4582851645606732,0.3678018402796456,0.3325868785147191
闵行,吴泾镇,603,0.09462532470611965,0.12387140075068416,0.3404392998973903,0.44029016039051094,0.27441619212962326,0.27311027398327103
闵行,新虹街道,427,0.11588416562301063,0.148321189861743,0.38481585231987386,0.4870920103047712,0.3261393675384363,0.30332107823805066
闵行,梅陇镇,2242,0.1086758053585986,0.15145375615078305,0.4074228334781982,0.5317366442531832,0.34060718533820367,0.3020626436342145
闵行,江川路街道,1077,0.11292895630053765,0.15525257551502636,0.4133300578567206,0.5237698577790716,0.3428382328995665,0.33531493292097475
闵行,浦江镇,1684,0.10808112841482818,0.12344510060148009,0.31485153847664094,0.376800556158756,0.2815146286193907,0.262404783985407
闵行,浦锦街道,1042,0.09600921764010856,0.12149560868264082,0.32900378469259145,0.380912818227278,0.30632852519654696,0.2776946943315552
闵行,莘庄镇,2959,0.12864815409018898,0.16897063032349363,0.42909836967297194,0.5127937927682652,0.38996984093648546,0.34996563295158367
闵行,虹桥镇,1427,0.12271415669819531,0.17219731812097513,0.44942656052153424,0.5453533032747054,0.40229403692970744,0.36192930514501764
闵行,颛桥镇,2285,0.10693531124607156,0.1352421068429902,0.3568229006156225,0.4510829474287845,0.3095969914438,0.27212309855511496
闵行,马桥镇,778,0.08796619147131857,0.09767158166341042,0.25784935328596537,0.3394461538589659,0.2045690023984372,0.20188696361170383
青浦,华新镇,650,0.11644420871289231,0.12564277988045855,0.3076115081284362,0.34864383110979663,0.2922686738037501,0.26343975941281994
青浦,夏阳街道,1260,0.09498566628803817,0.13219345660666387,0.36874155406677345,0.4655625782277972,0.29836141493448,0.3123601101943463
青浦,徐泾镇,1598,0.08993588411141908,0.09126483432410737,0.2293085066494197,0.19801898981059154,0.2520365377047468,0.24755249011408684
青浦,朱家角镇,797,0.10803073849528395,0.08169371248098972,0.1583074357825133,0.18467518529679172,0.13419583764198553,0.14987527395640668
青浦,白鹤镇,132,0.1226586902132151,0.08881543631445556,0.16028482413790882,0.13060444474272145,0.19000771021910634,0.16616139065653213
青浦,盈浦街道,707,0.09737045087890493,0.11376248878718381,0.30008046498245133,0.34745197112805815,0.27439057768250347,0.2602518973694075
青浦,练塘镇,96,0.1312798110039502,0.07376912674460362,0.08218257124019909,0.060411327864740426,0.06104721821531142,0.14660605487577572
